id_hogar,region,area,miembros,edad_jefe,educ_jefe,empleo_jefe,vivienda_propia,internet,transferencias,ingreso_pc,pobre,miembros_z,edad_jefe_z,transferencias_z
1,Costa,Urbana,2,35,Secundaria,Formal,No,No,110.46284927765649,978.87,No pobre,-1.134953406093915,-0.8261476537017347,0.4000841344302574
2,Sierra,Urbana,2,42,Superior,Formal,Sí,Sí,23.29459387434792,1053.66,No pobre,-1.134953406093915,-0.30247019898451355,-0.8997726971358345
3,Costa,Urbana,2,33,Primaria,Informal,Sí,No,210.27758206919623,450.81,No pobre,-1.134953406093915,-0.9757697836209407,1.8885257891327139
4,Amazonia,Rural,4,55,Primaria,Formal,No,Sí,49.004129402706525,444.77,No pobre,0.001136089495589632,0.6700736454903257,-0.5163909804970541
5,Amazonia,Rural,4,62,Secundaria,Informal,Sí,No,58.903691843614034,380.5,No pobre,0.001136089495589632,1.1937511002075467,-0.3687682730241189
6,Costa,Urbana,4,76,Secundaria,Formal,No,No,4.507354392155678,821.38,No pobre,0.001136089495589632,2.241106009641989,-1.1799288328093824
7,Sierra,Rural,4,51,Secundaria,Informal,Sí,Sí,49.15344669778573,663.3,No pobre,0.001136089495589632,0.3708293856519136,-0.5141643544715399
8,Amazonia,Urbana,2,34,Primaria,Inactivo,Sí,Sí,221.21400236908548,278.43,Pobre,-1.134953406093915,-0.9009587186613377,2.051610166282581
9,Sierra,Urbana,1,60,Primaria,Desempleado,No,Sí,102.7583116461088,211.17,Pobre,-1.7029981538886676,1.0441289702883407,0.28519373278014953
10,Costa,Urbana,3,59,Secundaria,Informal,Sí,No,49.32678251538446,626.04,No pobre,-0.5669086582991627,0.9693179053287377,-0.5115795631892281
11,Amazonia,Urbana,6,43,Secundaria,Formal,Sí,No,92.99623144726674,748.72,No pobre,1.1372255850850943,-0.22765913402491053,0.13962116650530262
12,Costa,Urbana,3,24,Superior,Formal,No,No,90.64701665558596,1183.28,No pobre,-0.5669086582991627,-1.6490693682573678,0.10458957293200195
13,Sierra,Urbana,4,46.04312114989733,Primaria,Inactivo,No,No,45.341436884191424,274.92,Pobre,0.001136089495589632,5.31564587615229e-16,-0.5710092112978183
14,Sierra,Urbana,4,62,Superior,Inactivo,No,Sí,78.85816098387207,827.2,No pobre,0.001136089495589632,1.1937511002075467,-0.07120635771183123
15,Costa,Urbana,9,42,Superior,Formal,Sí,No,17.392490042452778,898.21,No pobre,2.841359828469352,-0.30247019898451355,-0.9877851272459147
16,Amazonia,Rural,2,54,Superior,Desempleado,Sí,Sí,36.38894996649174,481.1,No pobre,-1.134953406093915,0.5952625805307227,-0.7045090872060416
17,Costa,Urbana,5,42,Secundaria,Formal,Sí,Sí,172.36017503164547,838.61,No pobre,0.569180837290342,-0.30247019898451355,1.3230997593815
18,Costa,Urbana,3,56,Secundaria,Informal,No,Sí,122.13654421537315,678.44,No pobre,-0.5669086582991627,0.7448847104499287,0.5741627831791867
19,Costa,Urbana,3,44,Superior,Formal,No,No,26.222895291366104,1240.24,No pobre,-0.5669086582991627,-0.1528480690653075,-0.8561057385144363
20,Amazonia,Urbana,1,41,Primaria,Desempleado,No,Sí,75.56337482200779,32.97,Pobre,-1.7029981538886676,-0.37728126394411654,-0.12033835285425268
21,Amazonia,Urbana,10,48,Superior,Inactivo,Sí,No,70.1863834404163,451.95,No pobre,3.4094045762641043,0.14639619077310453,-0.2005202831716101
22,Sierra,Rural,4,42,Superior,Informal,No,No,81.80033145236054,781.59,No pobre,0.001136089495589632,-0.30247019898451355,-0.027332583189190175
23,Sierra,Urbana,10,38,Primaria,Informal,Sí,No,31.283548993594113,65.25,Pobre,3.4094045762641043,-0.6017144588229256,-0.7806410494874991
24,Insular,Urbana,2,42,Secundaria,Informal,Sí,No,50.180794537970584,925.07,No pobre,-1.134953406093915,-0.30247019898451355,-0.49884449861024815
