modelo,busqueda,.metric,.estimator,mean,n,std_err,mtry,min_n,.config,.iter,tree_depth,learn_rate,loss_reduction,sample_size
RF,bayes,f_meas,binary,0.9161468191722673,5,0.002977904103465439,2,17,pre0_mod01_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9842769504727288,5,0.002611859667919568,2,17,pre0_mod01_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9292579693582199,5,0.009532691861188628,2,17,pre0_mod01_post0,0,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9104624601649417,5,0.0024866679150001136,2,29,pre0_mod02_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9840471076649779,5,0.0032526417458855236,2,29,pre0_mod02_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9286064487818874,5,0.010963309500383092,2,29,pre0_mod02_post0,0,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9356594915431002,5,0.004133843283800756,3,7,pre0_mod03_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9838125827862331,5,0.003880256995367553,3,7,pre0_mod03_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9302286500281487,5,0.012351742440092935,3,7,pre0_mod03_post0,0,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9247169390213842,5,0.0015981447027645314,3,42,pre0_mod04_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9846128245238892,5,0.00335594946542394,3,42,pre0_mod04_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9314911858771507,5,0.011873504330430799,3,42,pre0_mod04_post0,0,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9397667762757276,5,0.004663853381729204,4,22,pre0_mod05_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9847624885678801,5,0.0037007937726003847,4,22,pre0_mod05_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.933803725282422,5,0.0125948492207761,4,22,pre0_mod05_post0,0,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9394511448849957,5,0.004547277252297965,4,34,pre0_mod06_post0,0,NA,NA,NA,NA
