modelo,busqueda,.metric,.estimator,mean,n,std_err,mtry,min_n,.config,tree_depth,learn_rate,loss_reduction,sample_size
RF,grid,f_meas,binary,0.9364391492025685,5,0.0041425504657797195,3,5,pre0_mod1_post0,NA,NA,NA,NA
RF,grid,pr_auc,binary,0.9836826821209473,5,0.0032241104709741612,3,5,pre0_mod1_post0,NA,NA,NA,NA
RF,grid,roc_auc,binary,0.929248686892797,5,0.010862074368238559,3,5,pre0_mod1_post0,NA,NA,NA,NA
RF,grid,f_meas,binary,0.9361940352505981,5,0.005093283758392866,3,15,pre0_mod2_post0,NA,NA,NA,NA
RF,grid,pr_auc,binary,0.9846046250760212,5,0.0034886770291137114,3,15,pre0_mod2_post0,NA,NA,NA,NA
RF,grid,roc_auc,binary,0.9316271076922705,5,0.012089466986488625,3,15,pre0_mod2_post0,NA,NA,NA,NA
RF,grid,f_meas,binary,0.9315614685421612,5,0.004293472131290185,3,25,pre0_mod3_post0,NA,NA,NA,NA
RF,grid,pr_auc,binary,0.9848558011663915,5,0.0033267775357310697,3,25,pre0_mod3_post0,NA,NA,NA,NA
RF,grid,roc_auc,binary,0.9327003776878464,5,0.01186411012635359,3,25,pre0_mod3_post0,NA,NA,NA,NA
RF,grid,f_meas,binary,0.934941412503861,5,0.006981924189450406,7,5,pre0_mod4_post0,NA,NA,NA,NA
RF,grid,pr_auc,binary,0.981891776295346,5,0.005100915292226201,7,5,pre0_mod4_post0,NA,NA,NA,NA
RF,grid,roc_auc,binary,0.9270901520274955,5,0.015997547291139887,7,5,pre0_mod4_post0,NA,NA,NA,NA
RF,grid,f_meas,binary,0.9402679190164192,5,0.006227182941767758,7,15,pre0_mod5_post0,NA,NA,NA,NA
RF,grid,pr_auc,binary,0.9836973808591123,5,0.004218182768892495,7,15,pre0_mod5_post0,NA,NA,NA,NA
RF,grid,roc_auc,binary,0.9314092108578325,5,0.014319565376280248,7,15,pre0_mod5_post0,NA,NA,NA,NA
RF,grid,f_meas,binary,0.9389460242745793,5,0.006591530014787433,7,25,pre0_mod6_post0,NA,NA,NA,NA
RF,grid,pr_auc,binary,0.983268642646721,5,0.004619904411406188,7,25,pre0_mod6_post0,NA,NA,NA,NA
RF,grid,roc_auc,binary,0.9317358451443665,5,0.014091782941808033,7,25,pre0_mod6_post0,NA,NA,NA,NA
RF,grid,f_meas,binary,0.9378625605252005,5,0.005803736616444189,11,5,pre0_mod7_post0,NA,NA,NA,NA
RF,grid,pr_auc,binary,0.9784565605232524,5,0.006376154280591909,11,5,pre0_mod7_post0,NA,NA,NA,NA
RF,grid,roc_auc,binary,0.9202849596333306,5,0.018204858967191127,11,5,pre0_mod7_post0,NA,NA,NA,NA
RF,grid,f_meas,binary,0.9386038896063157,5,0.006058974455327774,11,15,pre0_mod8_post0,NA,NA,NA,NA
RF,grid,pr_auc,binary,0.9817384817498225,5,0.00469920750593672,11,15,pre0_mod8_post0,NA,NA,NA,NA
RF,grid,roc_auc,binary,0.9263423710792131,5,0.015888664043061725,11,15,pre0_mod8_post0,NA,NA,NA,NA
RF,grid,f_meas,binary,0.940567759551897,5,0.0053767709741512695,11,25,pre0_mod9_post0,NA,NA,NA,NA
RF,grid,pr_auc,binary,0.9794741181627086,5,0.00608661796678544,11,25,pre0_mod9_post0,NA,NA,NA,NA
RF,grid,roc_auc,binary,0.9246567597444789,5,0.016027174208238213,11,25,pre0_mod9_post0,NA,NA,NA,NA
GBM,grid,f_meas,binary,0.9379811267868821,5,0.002931035610118223,3,5,pre0_mod01_post0,1,0.03,1e-5,0.7
GBM,grid,pr_auc,binary,0.9851775729803224,5,0.00200454066282425,3,5,pre0_mod01_post0,1,0.03,1e-5,0.7
GBM,grid,roc_auc,binary,0.9325569816797887,5,0.007310524540280802,3,5,pre0_mod01_post0,1,0.03,1e-5,0.7
GBM,grid,f_meas,binary,0.9378925142368528,5,0.003340113906046447,3,5,pre0_mod02_post0,1,0.03,1e-5,0.9
GBM,grid,pr_auc,binary,0.9861867531805854,5,0.0019620142534188824,3,5,pre0_mod02_post0,1,0.03,1e-5,0.9
GBM,grid,roc_auc,binary,0.936234646259709,5,0.0076119363154879055,3,5,pre0_mod02_post0,1,0.03,1e-5,0.9
GBM,grid,f_meas,binary,0.9374036403177357,5,0.003515561864845728,3,5,pre0_mod03_post0,1,0.03,0.01,0.7
GBM,grid,pr_auc,binary,0.9853694838548738,5,0.0020273680986733437,3,5,pre0_mod03_post0,1,0.03,0.01,0.7
GBM,grid,roc_auc,binary,0.9329409984798457,5,0.007476486050159054,3,5,pre0_mod03_post0,1,0.03,0.01,0.7
GBM,grid,f_meas,binary,0.9385779116103682,5,0.0037884817084409494,3,5,pre0_mod04_post0,1,0.03,0.01,0.9
GBM,grid,pr_auc,binary,0.9861760991533418,5,0.0021357305056816035,3,5,pre0_mod04_post0,1,0.03,0.01,0.9
GBM,grid,roc_auc,binary,0.9367958737632923,5,0.008270686874957196,3,5,pre0_mod04_post0,1,0.03,0.01,0.9
GBM,grid,f_meas,binary,0.9424384588740694,5,0.004131421811296231,3,5,pre0_mod05_post0,1,0.08,1e-5,0.7
GBM,grid,pr_auc,binary,0.9860468911468054,5,0.001366977544026645,3,5,pre0_mod05_post0,1,0.08,1e-5,0.7
GBM,grid,roc_auc,binary,0.9357748025667826,5,0.004991289070075869,3,5,pre0_mod05_post0,1,0.08,1e-5,0.7
GBM,grid,f_meas,binary,0.942825874740783,5,0.004212607334181854,3,5,pre0_mod06_post0,1,0.08,1e-5,0.9
GBM,grid,pr_auc,binary,0.9866918465001371,5,0.001623164612782985,3,5,pre0_mod06_post0,1,0.08,1e-5,0.9
GBM,grid,roc_auc,binary,0.9385751536127477,5,0.0062317255689902165,3,5,pre0_mod06_post0,1,0.08,1e-5,0.9
GBM,grid,f_meas,binary,0.9438118053697047,5,0.004630296258003534,3,5,pre0_mod07_post0,1,0.08,0.01,0.7
GBM,grid,pr_auc,binary,0.9857239662010235,5,0.0017057106329662266,3,5,pre0_mod07_post0,1,0.08,0.01,0.7
GBM,grid,roc_auc,binary,0.9348149112560141,5,0.00635445189028835,3,5,pre0_mod07_post0,1,0.08,0.01,0.7
GBM,grid,f_meas,binary,0.942134074210932,5,0.0036673515000068524,3,5,pre0_mod08_post0,1,0.08,0.01,0.9
GBM,grid,pr_auc,binary,0.986806191846003,5,0.001666267791836956,3,5,pre0_mod08_post0,1,0.08,0.01,0.9
GBM,grid,roc_auc,binary,0.9389022098295282,5,0.006466728966772925,3,5,pre0_mod08_post0,1,0.08,0.01,0.9
GBM,grid,f_meas,binary,0.9446445095154826,5,0.0029415787169819693,3,5,pre0_mod09_post0,3,0.03,1e-5,0.7
GBM,grid,pr_auc,binary,0.9853319854220278,5,0.0024312632157693207,3,5,pre0_mod09_post0,3,0.03,1e-5,0.7
GBM,grid,roc_auc,binary,0.9351605926793897,5,0.008682476603154745,3,5,pre0_mod09_post0,3,0.03,1e-5,0.7
GBM,grid,f_meas,binary,0.9431504169197644,5,0.004379078003144417,3,5,pre0_mod10_post0,3,0.03,1e-5,0.9
GBM,grid,pr_auc,binary,0.9848208446838629,5,0.002562593267537146,3,5,pre0_mod10_post0,3,0.03,1e-5,0.9
GBM,grid,roc_auc,binary,0.9331594377960293,5,0.008973214007050217,3,5,pre0_mod10_post0,3,0.03,1e-5,0.9
GBM,grid,f_meas,binary,0.9469539354326681,5,0.004979865296577057,3,5,pre0_mod11_post0,3,0.03,0.01,0.7
GBM,grid,pr_auc,binary,0.9847859670947081,5,0.0026980343999617206,3,5,pre0_mod11_post0,3,0.03,0.01,0.7
GBM,grid,roc_auc,binary,0.9331311684695144,5,0.009115010713375369,3,5,pre0_mod11_post0,3,0.03,0.01,0.7
GBM,grid,f_meas,binary,0.9422584361626081,5,0.0038575174606922526,3,5,pre0_mod12_post0,3,0.03,0.01,0.9
GBM,grid,pr_auc,binary,0.9849488720747216,5,0.0026380507415706576,3,5,pre0_mod12_post0,3,0.03,0.01,0.9
GBM,grid,roc_auc,binary,0.9335968589101421,5,0.009376383999476462,3,5,pre0_mod12_post0,3,0.03,0.01,0.9
GBM,grid,f_meas,binary,0.9377685373177934,5,0.0034837188346527217,3,5,pre0_mod13_post0,3,0.08,1e-5,0.7
GBM,grid,pr_auc,binary,0.9825483046043958,5,0.0022003067408931463,3,5,pre0_mod13_post0,3,0.08,1e-5,0.7
GBM,grid,roc_auc,binary,0.9236769171606264,5,0.007803426010119452,3,5,pre0_mod13_post0,3,0.08,1e-5,0.7
GBM,grid,f_meas,binary,0.9405270683072314,5,0.0058482272045115085,3,5,pre0_mod14_post0,3,0.08,1e-5,0.9
GBM,grid,pr_auc,binary,0.9804469720032276,5,0.0029374351285906654,3,5,pre0_mod14_post0,3,0.08,1e-5,0.9
GBM,grid,roc_auc,binary,0.9180945991722934,5,0.009670783540298497,3,5,pre0_mod14_post0,3,0.08,1e-5,0.9
GBM,grid,f_meas,binary,0.9355207997483596,5,0.007839875146708721,3,5,pre0_mod15_post0,3,0.08,0.01,0.7
GBM,grid,pr_auc,binary,0.9815760428188253,5,0.0024247500287446614,3,5,pre0_mod15_post0,3,0.08,0.01,0.7
GBM,grid,roc_auc,binary,0.9192135581859894,5,0.009138929566285205,3,5,pre0_mod15_post0,3,0.08,0.01,0.7
GBM,grid,f_meas,binary,0.9361122500745553,5,0.00856564741887787,3,5,pre0_mod16_post0,3,0.08,0.01,0.9
GBM,grid,pr_auc,binary,0.981527934463095,5,0.002301718528504501,3,5,pre0_mod16_post0,3,0.08,0.01,0.9
GBM,grid,roc_auc,binary,0.9195910049293508,5,0.008386900517574264,3,5,pre0_mod16_post0,3,0.08,0.01,0.9
GBM,grid,f_meas,binary,0.9099707791063456,5,0.0029001113155212783,3,15,pre0_mod17_post0,1,0.03,1e-5,0.7
GBM,grid,pr_auc,binary,0.9696260987089205,5,0.0022059821240963244,3,15,pre0_mod17_post0,1,0.03,1e-5,0.7
GBM,grid,roc_auc,binary,0.8667687737863177,5,0.008245987524907033,3,15,pre0_mod17_post0,1,0.03,1e-5,0.7
GBM,grid,f_meas,binary,0.9183387101589412,5,0.0067335083833871285,3,15,pre0_mod18_post0,1,0.03,1e-5,0.9
GBM,grid,pr_auc,binary,0.9733429487119981,5,0.0027120765364896616,3,15,pre0_mod18_post0,1,0.03,1e-5,0.9
GBM,grid,roc_auc,binary,0.8861139742092122,5,0.011197980492309073,3,15,pre0_mod18_post0,1,0.03,1e-5,0.9
GBM,grid,f_meas,binary,0.9085818902174566,5,0.003242262625914433,3,15,pre0_mod19_post0,1,0.03,0.01,0.7
GBM,grid,pr_auc,binary,0.9701874701304215,5,0.002470648770963157,3,15,pre0_mod19_post0,1,0.03,0.01,0.7
GBM,grid,roc_auc,binary,0.869072633483661,5,0.009549649072442436,3,15,pre0_mod19_post0,1,0.03,0.01,0.7
GBM,grid,f_meas,binary,0.9183837003462815,5,0.007384280092135886,3,15,pre0_mod20_post0,1,0.03,0.01,0.9
GBM,grid,pr_auc,binary,0.9730485282466856,5,0.002762442167047906,3,15,pre0_mod20_post0,1,0.03,0.01,0.9
GBM,grid,roc_auc,binary,0.8847733209888597,5,0.011220501798679179,3,15,pre0_mod20_post0,1,0.03,0.01,0.9
GBM,grid,f_meas,binary,0.9054883858149091,5,0.005685286645027757,3,15,pre0_mod21_post0,1,0.08,1e-5,0.7
GBM,grid,pr_auc,binary,0.9677360953900472,5,0.0023880987951818045,3,15,pre0_mod21_post0,1,0.08,1e-5,0.7
GBM,grid,roc_auc,binary,0.8593109758523292,5,0.009342270173513738,3,15,pre0_mod21_post0,1,0.08,1e-5,0.7
GBM,grid,f_meas,binary,0.918828189670754,5,0.005398278933348687,3,15,pre0_mod22_post0,1,0.08,1e-5,0.9
GBM,grid,pr_auc,binary,0.9698755854463422,5,0.002148035658267177,3,15,pre0_mod22_post0,1,0.08,1e-5,0.9
GBM,grid,roc_auc,binary,0.8732496826481789,5,0.008979439129515139,3,15,pre0_mod22_post0,1,0.08,1e-5,0.9
GBM,grid,f_meas,binary,0.9075212447678733,5,0.005305430991544603,3,15,pre0_mod23_post0,1,0.08,0.01,0.7
GBM,grid,pr_auc,binary,0.9674949029723809,5,0.002999952108466898,3,15,pre0_mod23_post0,1,0.08,0.01,0.7
