cost,rbf_sigma,.metric,.estimator,mean,n,std_err,.config,modelo,neighbors,weight_func,dist_power,smoothness,Laplace
0.1,0.01,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,pre0_mod1_post0,SVM,NA,NA,NA,NA,NA
0.1,0.01,pr_auc,binary,0.9875593249015766,5,0.002015105473421913,pre0_mod1_post0,SVM,NA,NA,NA,NA,NA
0.1,0.01,roc_auc,binary,0.9433683414886422,5,0.008525711892383778,pre0_mod1_post0,SVM,NA,NA,NA,NA,NA
0.1,0.05,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,pre0_mod2_post0,SVM,NA,NA,NA,NA,NA
0.1,0.05,pr_auc,binary,0.9851478770989514,5,0.002213808128856927,pre0_mod2_post0,SVM,NA,NA,NA,NA,NA
0.1,0.05,roc_auc,binary,0.9338063774154001,5,0.009328069127213722,pre0_mod2_post0,SVM,NA,NA,NA,NA,NA
0.1,0.1,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,pre0_mod3_post0,SVM,NA,NA,NA,NA,NA
0.1,0.1,pr_auc,binary,0.9809999106245101,5,0.001991165727733142,pre0_mod3_post0,SVM,NA,NA,NA,NA,NA
0.1,0.1,roc_auc,binary,0.9191632279351578,5,0.008775556847813566,pre0_mod3_post0,SVM,NA,NA,NA,NA,NA
1,0.01,f_meas,binary,0.9204970841598961,5,0.0013651501740250514,pre0_mod4_post0,SVM,NA,NA,NA,NA,NA
1,0.01,pr_auc,binary,0.987548418779222,5,0.001995146414335156,pre0_mod4_post0,SVM,NA,NA,NA,NA,NA
1,0.01,roc_auc,binary,0.9433146357958389,5,0.008421460214260936,pre0_mod4_post0,SVM,NA,NA,NA,NA,NA
1,0.05,f_meas,binary,0.9414757440450872,5,0.004937919412269568,pre0_mod5_post0,SVM,NA,NA,NA,NA,NA
1,0.05,pr_auc,binary,0.984626810088527,5,0.002318816608394211,pre0_mod5_post0,SVM,NA,NA,NA,NA,NA
1,0.05,roc_auc,binary,0.9323490303440177,5,0.009556002697041743,pre0_mod5_post0,SVM,NA,NA,NA,NA,NA
1,0.1,f_meas,binary,0.9378772438128952,5,0.0036209239599793545,pre0_mod6_post0,SVM,NA,NA,NA,NA,NA
1,0.1,pr_auc,binary,0.9784582400643728,5,0.0019092442634872403,pre0_mod6_post0,SVM,NA,NA,NA,NA,NA
1,0.1,roc_auc,binary,0.9107842959973286,5,0.00806711926486462,pre0_mod6_post0,SVM,NA,NA,NA,NA,NA
10,0.01,f_meas,binary,0.9422420529689473,5,0.0033532330061326163,pre0_mod7_post0,SVM,NA,NA,NA,NA,NA
10,0.01,pr_auc,binary,0.9880233568742073,5,0.0021564001907688596,pre0_mod7_post0,SVM,NA,NA,NA,NA,NA
10,0.01,roc_auc,binary,0.9451255001380314,5,0.009013435479795384,pre0_mod7_post0,SVM,NA,NA,NA,NA,NA
10,0.05,f_meas,binary,0.9295431018813632,5,0.006673643664134179,pre0_mod8_post0,SVM,NA,NA,NA,NA,NA
10,0.05,pr_auc,binary,0.9782438233766917,5,0.0025264065043168987,pre0_mod8_post0,SVM,NA,NA,NA,NA,NA
10,0.05,roc_auc,binary,0.905279974828847,5,0.011026533149600122,pre0_mod8_post0,SVM,NA,NA,NA,NA,NA
10,0.1,f_meas,binary,0.9282451404467073,5,0.003971856892113593,pre0_mod9_post0,SVM,NA,NA,NA,NA,NA
10,0.1,pr_auc,binary,0.9707361926623717,5,0.0033107473587814726,pre0_mod9_post0,SVM,NA,NA,NA,NA,NA
10,0.1,roc_auc,binary,0.8805283410546569,5,0.011540815049241869,pre0_mod9_post0,SVM,NA,NA,NA,NA,NA
NA,NA,f_meas,binary,0.9200253842267572,5,0.0020961227515961436,pre0_mod01_post0,k-NN,3,rectangular,1,NA,NA
NA,NA,pr_auc,binary,0.9635401151109722,5,0.0027220316753149244,pre0_mod01_post0,k-NN,3,rectangular,1,NA,NA
NA,NA,roc_auc,binary,0.8318171269925655,5,0.012155008068577566,pre0_mod01_post0,k-NN,3,rectangular,1,NA,NA
NA,NA,f_meas,binary,0.9237375785585672,5,0.005991722375844676,pre0_mod02_post0,k-NN,3,rectangular,2,NA,NA
NA,NA,pr_auc,binary,0.9632172567855669,5,0.0012300348029435082,pre0_mod02_post0,k-NN,3,rectangular,2,NA,NA
