canton,nbi,internet_inst,tef_11_19,cajeros,puntos_financieros,pib_pc,fecundidad,participacion_ensenanza,prematuro,agua_potable,oficinas
CUENCA,0.198280652712054,68.28,0.03,12,50,6801,1.36,5.12,7.05,169525,8
GIRON,0.331142692844821,66.67,0.09,7,56,1784,1.97,8.67,6.74,2563,10
GUALACEO,0.425801519644175,74.47,0.09,6,42,2771,1.81,6.49,6.77,5036,10
NABON,0.72306545602385,61.82,0.1,4,35,1663,1.52,8.49,5.48,1029,6
PAUTE,0.325436922270882,67.74,0.05,7,48,2515,1.54,6.79,6.96,3940,8
PUCARA,0.645117914770381,58.33,0.08,7,38,2261,1.79,6.58,16.95,1115,7
SAN FERNANDO,0.31326912787587,100,0.02,14,57,1948,1.07,6.77,11.76,1094,18
SANTA ISABEL,0.374450827982429,54.76,0.09,10,61,2448,1.87,5.8,5.52,4551,9
SIGSIG,0.523790467805838,56.25,0.08,7,45,1464,1.83,10.88,8.77,1947,9
ONA,0.564492541678852,91.67,0.02,12,88,2004,1.94,7.85,12,648,32
CHORDELEG,0.33013879709187,69.23,0.07,7,35,1780,1.63,10.69,4.05,2077,8
EL PAN,0.256123919308358,75,0.04,5,51,1774,1.28,6.09,13.33,970,0
SEVILLA DE ORO,0.267578124999986,40,0.05,6,53,30580,1.7,0.52,0,612,12
GUACHAPALA,0.319374651032938,66.67,0.01,8,34,1455,0.99,6.68,0,648,4
CAMILO PONCE ENRIQUEZ,0.39221543733251,27.5,0.13,3,60,7018,2.64,3.51,7.59,6294,7
GUARANDA,0.615117111588422,40.51,0.09,4,25,2046,1.84,21.57,5.12,8105,8
CHILLANES,0.718367553352888,11.11,0.09,3,25,2223,1.79,7.66,3.51,1128,5
CHIMBO,0.585411431148916,36,0.06,4,12,2234,1.42,5.98,2.78,1823,3
ECHEANDIA,0.436373566357183,33.33,0.06,4,42,1489,1.95,14.76,4.35,2857,7
SAN MIGUEL,0.577218505539626,31.51,0.06,2,23,2134,1.59,7.36,4.79,3087,5
CALUMA,0.404083204930664,41.38,0.07,4,37,2650,2.12,8.31,5.15,2805,9
LAS NAVES,0.549392423159397,42.86,0.09,2,43,6783,2.01,2.66,1.59,887,6
AZOGUES,0.260246096240721,65.91,0.05,9,48,3807,1.59,19.44,6.9,12370,10
BIBLIAN,0.433202461799667,41.38,0.05,8,45,2367,1.44,4.89,5.94,3165,14
CANAR,0.467030643238878,40.14,0.08,6,40,2303,1.67,9.46,5.83,4427,10
LA TRONCAL,0.454044028707358,62.79,0.1,6,42,4431,2.47,6.07,4.52,10503,7
EL TAMBO,0.346394645941281,66.67,0.1,11,60,2763,1.7,5.87,13.79,2383,17
DELEG,0.434502150181942,72.73,0.05,7,50,2234,1.74,6.32,0,966,11
SUSCAL,0.614885331025533,30.77,0.12,18,63,2276,1.48,6.38,0,690,21
TULCAN,0.296030183727034,57.75,0.05,4,64,3287,1.59,10.17,9.38,32346,8
BOLIVAR (CARCHI),0.40376395534291,57.14,0.06,2,21,4209,1.13,3.4,10.26,1747,6
ESPEJO,0.376420356724743,75,0.05,2,38,3227,1.39,4.41,13.04,2514,6
MIRA,0.449326718639263,33.33,0.06,1,28,2536,1.35,6.6,7.14,1925,7
MONTUFAR,0.347199675324674,80,0.04,2,40,3451,1.51,4.71,12.27,3988,7
SAN PEDRO DE HUACA,0.313095389305218,100,0.05,0,35,2218,1.49,7.35,7.69,2613,7
LATACUNGA,0.381137994514788,77.05,0.05,5,45,5141,1.79,6.42,8.43,30469,8
LA MANA,0.461674385729957,40.35,0.1,3,31,2902,2.06,11.11,3.24,6000,8
PANGUA,0.690321399139272,26.09,0.1,2,25,2788,2.02,6.27,4.55,2541,8
PUJILI,0.645415944022481,44.34,0.1,2,23,2012,1.96,13.57,5.24,5800,5
SALCEDO,0.488280670523658,95.35,0.04,3,36,2372,1.43,7.66,5.38,6981,11
SAQUISILI,0.56557814746354,74.29,0.07,3,38,2138,2.4,9.52,4.18,2919,7
SIGCHOS,0.824854769531463,33.33,0.11,2,23,1342,2.2,13.89,1.53,1207,5
RIOBAMBA,0.253379196371952,81.56,0.04,5,52,3373,1.54,13.61,7.1,46598,9
ALAUSI,0.737432773570408,31.75,0.12,2,29,1202,2.1,15.68,3.21,2082,5
COLTA,0.812674437694959,37.5,0.07,1,20,1384,1.92,9.94,6.49,1023,4
CHAMBO,0.373012911411301,50,0.05,1,20,1918,1.75,5.61,6.74,2429,2
CHUNCHI,0.539390508538538,54.55,0.09,3,40,1484,1.84,12.99,3.28,1587,11
GUAMOTE,0.885337136784406,27.85,0.17,1,19,1067,2.7,19.22,5.8,1749,7
GUANO,0.494248823858577,68.75,0.05,1,21,1533,1.38,5.72,6.43,5212,2
PALLATANGA,0.648141834299352,31.58,0.09,2,40,2121,1.96,9.62,7.69,1478,10
PENIPE,0.491118870502504,83.33,0.05,2,23,2821,0.81,4.46,0,726,6
CUMANDA,0.361959862592663,47.37,0.06,4,55,1642,1.81,12.67,7.69,2902,8
MACHALA,0.334864175985679,97.26,0.05,7,51,7132,1.71,3.04,8.51,59630,6
ARENILLAS,0.397038365227068,57.45,0.06,2,46,2893,1.75,5.99,4.76,6249,4
ATAHUALPA,0.404418985270045,81.82,0.04,2,25,1685,1.5,7.38,3.33,570,4
BALSAS,0.515440335493707,100,0.05,7,49,3500,1.8,7.28,1.96,1249,10
CHILLA,0.626388271879158,10,0.08,0,18,2423,1.94,21.6,0,706,12
EL GUABO,0.523576933477557,58.33,0.11,4,33,4225,2.1,4.15,6.06,13471,3
HUAQUILLAS,0.413350631809053,93.55,0.08,4,60,2893,1.86,6.64,6.9,14259,4
