componente,num_componente,desviacion_estandar,varianza,prop_varianza,prop_acumulada
PC1,1,3.8511018631698493,14.830985560510284,0.87241,0.87241
PC2,2,1.05218548961858,1.107094304563891,0.06512,0.93753
PC3,3,0.9256485326516217,0.8568252060001004,0.0504,0.98794
PC4,4,0.32391424570241995,0.10492043856896768,0.00617,0.99411
PC5,5,0.2392458508029318,0.057238577126418694,0.00337,0.99747
PC6,6,0.12655365033708812,0.016015826413641965,9.4e-4,0.99842
PC7,7,0.11140512038148041,0.012411100847212142,7.3e-4,0.99915
PC8,8,0.05903025485576235,0.003484570988336254,2e-4,0.99935
PC9,9,0.055373579671769785,0.003066233325665836,1.8e-4,0.99953
PC10,10,0.0482556790116417,0.002328610556874597,1.4e-4,0.99967
PC11,11,0.0441237410583028,0.0019469045249801563,1.1e-4,0.99978
PC12,12,0.03581875679191148,0.0012829833381181048,8e-5,0.99986
PC13,13,0.027474412362486617,7.548433346639575e-4,4e-5,0.9999
PC14,14,0.023206538388926837,5.38543423996735e-4,3e-5,0.99993
PC15,15,0.02185660928596133,4.77711369479171e-4,3e-5,0.99996
PC16,16,0.018906195436784935,3.5744422589390753e-4,2e-5,0.99998
PC17,17,0.016466356047307056,2.7114088147668565e-4,2e-5,1
